headline,body,location,time_published,Text
Rehabilitating squatter settlements: Begin with affordable housing solutions,"On December 4, Wednesday, the Kathmandu Metropolitan City Office implemented an eviction plan for the Bagmati Corridor squatter settlements",Opinion,"05 Jan, 2023 ",rehabilitating squatter settlement begin affordable housing solution december wednesday kathmandu metropolitan city office implemented eviction plan bagmati corridor squatter settlement
"Seven decades of development: Political, socio-economic reality","The long period from 2007 to 2079 was enough time to lay the foundation for the structural change, development and social justice of the Nepali nation.",Opinion,"04 Jan, 2023 ",seven decade development political socio economic reality long period enough time lay foundation structural change development social justice nepali nation.
Leadership Mentorship Programme: Changing Nepal for the better,"It is a unique programme because the mentors are the country level leaders of these agencies, ambassadors, head of agencies and development programmes that happen to be all female. In short, it is a powerful women to women initiative and is transformative.",Opinion,"03 Jan, 2023 ",leadership mentorship programme changing nepal better unique programme mentor country level leader agency ambassador head agency development programme happen female. short powerful woman woman initiative transformative.
Incredible exit of Nepali Congress: Ways of resurrection,Nepal’s politics turned topsy-turvy last week following the abandonment of the Nepali Congress-led coalition by the Maoist Centre (MC) and joining hands with the Unified Marxist-Leninist (UML) even though both these parties did not see eye to eye till very recently.,Opinion,"03 Jan, 2023 ",incredible exit nepali congress way resurrection nepal politics turned topsy turvy last week following abandonment nepali congress led coalition maoist centre mc joining hand unified marxist leninist uml even though party see eye eye till recently.
EDITORIAL: Passport queues,"Despite the promises made by successive government to improve public service delivery, only those trying to avail it know the ordeal that they have to put through.",Opinion,"30 Dec, 2022 ",editorial passport queue despite promise made successive government improve public service delivery trying avail know ordeal put through.
Road accidents in Nepal: Are poor roads solely to blame?,"Every day, as we scroll through the news feed or flip through the pages of a newspaper, we witness news of a road accident.",Opinion,"30 Dec, 2022 ",road accident nepal poor road solely blame every day scroll news feed flip page newspaper witness news road accident.
Surrendering citizenship card: An ethical decision,"With the implementation of the National Identity Card, the problem of not surrendering the citizenship card will come to an end as it will update the record",Opinion,"29 Dec, 2022 ",surrendering citizenship card ethical decision implementation national identity card problem surrendering citizenship card come end update record
33rd team of World Cup 2022: Ignored and forgotten,"Lionel Messi entered the Olympus of legendary Maradona after he lifted the glittering World Cup on December 18 at the Lusail Stadium. Argentina beat the favourites, France, on penalty shootout in one of the most exciting finals of the World Cup, their first World Cup win after 36 years.",Opinion,"26 Dec, 2022 ",rd team world cup ignored forgotten lionel messi entered olympus legendary maradona lifted glittering world cup december lusail stadium. argentina beat favourite france penalty shootout one exciting final world cup first world cup win years.
EDITORIAL: Tourism Decade,"Battered by the coronavirus pandemic and the Russia-Ukraine war this year, the government has unveiled a ‘Nepal tourism decade (2023-2032) strategic action plan’ to revive the tourism sector, which contributes significantly to the country’s foreign exchange earnings.",Opinion,"26 Dec, 2022 ",editorial tourism decade battered coronavirus pandemic russia ukraine war year government unveiled nepal tourism decade strategic action plan revive tourism sector contributes significantly country foreign exchange earnings.
NHRC's status: Why it went from A to B,"The Global Alliance of National Human Rights Institutions (GANHRI), an umbrella institution of NHRIs, has recommended downgrading the status of the National Human Rights Commission of Nepal (NHRC) from A to B, as per the decision taken on November 8,2022.",Opinion,"23 Dec, 2022 ",nhrc status went b global alliance national human right institution ganhri umbrella institution nhris recommended downgrading status national human right commission nepal nhrc b per decision taken november .
EDITORIAL: Race for next PM,"With the election of the parliamentary party (PP) leaders of all the political parties, leaders of the ruling coalition have intensified their formal and informal discussions to form a new government under Article 76 (2) as none of the political parties have been able to secure a majority in the House of Representatives (HoR).",Opinion,"23 Dec, 2022 ",editorial race next pm election parliamentary party pp leader political party leader ruling coalition intensified formal informal discussion form new government article none political party able secure majority house representative hor .
Impeachment conundrum: Making a mockery of the constitution,Impeachment is the process by which charges against a public official for a misconduct and violation of the constitution are initiated by a legislative body or a legally constituted tribunal.,Opinion,"19 Dec, 2022 ",impeachment conundrum making mockery constitution impeachment process charge public official misconduct violation constitution initiated legislative body legally constituted tribunal.
Turbine manufacturing in Nepal: Need and opportunities,"According to the Nepal Energy Sector Synopsis Report of 2022, published by the Water and Energy Commission (WECS), the energy mix in Nepal is still dominated by traditional energy types.",Opinion,"16 Dec, 2022 ",turbine manufacturing nepal need opportunity according nepal energy sector synopsis report published water energy commission wecs energy mix nepal still dominated traditional energy types.
EDITORIAL: Workers' woes,"The woes of the migrant workers never seem to cease, and most of them deal with complaints about contract issues.",Opinion,"16 Dec, 2022 ",editorial worker woe woe migrant worker never seem cease deal complaint contract issues.
Women move mountains: Give them their due,The UN General Assembly celebrated 2002 as the UN International Year of Mountains and declared December 11 as International Mountain Day.,Opinion,"12 Dec, 2022 ",woman move mountain give due un general assembly celebrated un international year mountain declared december international mountain day.
"They are back again in the House! : Oh, no, not again","“Wealth does not bring goodness, but goodness brings wealth,” said Socrates, a citizen of Athens, who fought against Crimea and back at home, educated Athenians on issues such as wisdom, courage, piety and justice, and received the death verdict from the judicial court.",Opinion,"09 Dec, 2022 ",back house oh wealth bring goodness goodness brings wealth said socrates citizen athens fought crimea back home educated athenian issue wisdom courage piety justice received death verdict judicial court.
EDITORIAL: CJ Rana acquitted?,"Secretary General of the Parliament Secretariat, Bharat Raj Gautam, shook the entire political sphere, parliament and judiciary by acquitting suspended Chief Justice of the Supreme Court Cholendra Shumsher Rana of the unconcluded impeachment motion on Wednesday.",Opinion,"09 Dec, 2022 ",editorial cj rana acquitted secretary general parliament secretariat bharat raj gautam shook entire political sphere parliament judiciary acquitting suspended chief justice supreme court cholendra shumsher rana unconcluded impeachment motion wednesday.
Future course of Nepali politics: Heading towards yet another cycle of instability,Nepali politics appears to be tottering on the precipice of instability in view of the political scenario that has emerged after the federal and provincial elections. The country has already been scarred by political instability that it went through in the pre federal era.,Opinion,"06 Dec, 2022 ",future course nepali politics heading towards yet another cycle instability nepali politics appears tottering precipice instability view political scenario emerged federal provincial elections. country already scarred political instability went pre federal era.
RSP cadres up against Makawanpur head,A dispute has come to the surface at Rastriya Swatantra Party Makawanpur District Committee.,Opinion,"05 Dec, 2022 ",rsp cadre makawanpur head dispute come surface rastriya swatantra party makawanpur district committee.
Fight against HIV/AIDS: Ending inequalities,"Forty years since the first cases of AIDS were identified, the epidemic is increasingly considered as one the significant challenges to sustainable human development.",Opinion,"02 Dec, 2022 ",fight hiv aid ending inequality forty year since first case aid identified epidemic increasingly considered one significant challenge sustainable human development.
EDITORIAL: Enforce act,"The local governments would do well to strictly enforce the Public Health Service Act, 2018 at a time when consumption of liquor and tobacco production is high in the country.",Opinion,"02 Dec, 2022 ",editorial enforce act local government would well strictly enforce public health service act time consumption liquor tobacco production high country.
The energy of life: All about bioenergetics,"What makes us ‘hit’ the floor each morning and reach out from sleep to awareness, emptiness to existence and dream to reality",Opinion,"30 Nov, 2022 ",energy life bioenergetics make u hit floor morning reach sleep awareness emptiness existence dream reality
VAT refund system in Nepal Design and implementation,"Tax refund is an important element of the value added tax (VAT) system. Under the VAT, taxpayers pay tax on the purchases/ imports of goods and services that are used to run their businesses.",Opinion,"28 Nov, 2022 ",vat refund system nepal design implementation tax refund important element value added tax vat system. vat taxpayer pay tax purchase import good service used run businesses.
Taking on poverty and inequality in Nepal,"With growth averaging 4.5 per cent per year over the last decade, Nepal also achieved lower middle-income status in 2020 and is aiming for graduation from Least Developed Country status by 2026",Opinion,"23 Nov, 2022 ",taking poverty inequality nepal growth averaging . per cent per year last decade nepal also achieved lower middle income status aiming graduation least developed country status
Nepal must protect its biodiversity: For prosperity and well-being,"Nepal’s geography, typified by vast differences in altitude and climate across a short north–south transect, has enabled tremendous biological diversity to flourish here, making it a hotspot for biodiversity.",Opinion,"25 Nov, 2022 ",nepal must protect biodiversity prosperity well nepal geography typified vast difference altitude climate across short north south transect enabled tremendous biological diversity flourish making hotspot biodiversity.
EDITORIAL: Polls largely fair,"The November 20 general elections held for the House of Representatives and provincial assemblies were held in a peaceful and fair manner, barring sporadic incidents of violence, such as booth capturing and voter intimidation, in some districts.",Opinion,"25 Nov, 2022 ",editorial poll largely fair november general election held house representative provincial assembly held peaceful fair manner barring sporadic incident violence booth capturing voter intimidation districts.
Polling for Nepal's parliament 2022: Ballot box or cyber-voting?,"If every man were good enough to rule the state, said Socrates, election would be unnecessary when people would choose their leaders by lot, and, if voting changed anything, said Baige in 1983, they would make it illegal.",Opinion,"24 Nov, 2022 ",polling nepal parliament ballot box cyber voting every man good enough rule state said socrates election would unnecessary people would choose leader lot voting changed anything said baige would make illegal.
Challenges before the new government: Seemingly complex but actually simple,Anything goes kind of classical governmental mentality has landed us in the present state of affairs,Opinion,"22 Nov, 2022 ",challenge new government seemingly complex actually simple anything go kind classical governmental mentality landed u present state affair
FIFA World Cup 2022: Kicked off amid controversies,"KATHMANDU, NOVEMBER 20A controversy related to the World Cup is the alleged mishandling of migrant workers during the construction of new stadiums and other World Cup...",Opinion,"21 Nov, 2022 ",fifa world cup kicked amid controversy kathmandu november controversy related world cup alleged mishandling migrant worker construction new stadium world cup...
Upcoming election: A test of Nepali voters,The year 1947 marked an epoch in the history of elections in Nepal.,Opinion,"18 Nov, 2022 ",upcoming election test nepali voter year marked epoch history election nepal.
EDITORIAL: Follow EC code,"48-hour silence period before the November 20 A general election on Sunday began Thursday midnight, which prohibits party candidates and independents from engaging in any form of poll publicity.",Opinion,"18 Nov, 2022 ",editorial follow ec code hour silence period november general election sunday began thursday midnight prohibits party candidate independent engaging form poll publicity.
Karma sutra: The doctrine of cause and effect,"The Indian philosopher Madhvacárya (1238-1317) observed that our souls have a plethora of innate characteristics and capacities; they were preordained to accomplish certain ends. This (r)evolutionary perspective puts Madhvacárya at variance with the traditional Indian view of the karma theory, all right — where differences (‘bheda’) in social and religious status are determined by way of past moral, or decadent",Opinion,"16 Nov, 2022 ",karma sutra doctrine cause effect indian philosopher madhvac rya observed soul plethora innate characteristic capacity preordained accomplish certain ends. r evolutionary perspective put madhvac rya variance traditional indian view karma theory right difference bheda social religious status determined way past moral decadent
General election: Hope of transformation,"Same old faces. What will the future of our country be? A man, holding a cup of tea in one hand and a newspaper in the other, was mumbling in innocence but looked concerned. Divided comments about the election candidacy and results can be heard at every corner of the street, in the tea stalls, restaurants and gatherings.",Opinion,"14 Nov, 2022 ",general election hope transformation old faces. future country man holding cup tea one hand newspaper mumbling innocence looked concerned. divided comment election candidacy result heard every corner street tea stall restaurant gatherings.
Rights-based family planning; Why it is central to sustainable development,Unintended pregnancies. Lack of access to contraceptives. Rapidly changing population trends.,Opinion,"11 Nov, 2022 ",right based family planning central sustainable development unintended pregnancies. lack access contraceptives. rapidly changing population trends.
EDITORIAL: Learn lessons,An earthquake measuring 6.6 on the Richter scale that struck Doti of Sudupaschim Province early Wednesday morning killed six people while damaging homes and local infrastructure – a grim reminder of how prone Nepal is to the destructive force of nature.,Opinion,"11 Nov, 2022 ",editorial learn lesson earthquake measuring . richter scale struck doti sudupaschim province early wednesday morning killed six people damaging home local infrastructure grim reminder prone nepal destructive force nature.
Pre-electoral coalition in Nepal: Comedy of errors revisited,"Unlike his famous tragedy masterpieces, William Shakespeare composed a lighthearted slapstick play, The Comedy of Errors, in 1594.",Opinion,"10 Nov, 2022 ",pre electoral coalition nepal comedy error revisited unlike famous tragedy masterpiece william shakespeare composed lighthearted slapstick play comedy error .
November 20 elections: Will they emulate the local polls?,"The country is witnessing periodic elections, which have ensured the acceptance of the supremacy of adult franchise. On November 20, both the general and provincial elections will be held in a single phase. It is apparent that the political situation of the country is shrouded in confusion with many political parties contesting the elections.",Opinion,"09 Nov, 2022 ",november election emulate local poll country witnessing periodic election ensured acceptance supremacy adult franchise. november general provincial election held single phase. apparent political situation country shrouded confusion many political party contesting elections.
Public transportation: Small steps could improve it,"We all know that the public transportation system in Kathmandu is at the best passable. It is passable because at the end of the day, even with a lot of hassles and challenges, you can move from one point to another one.",Opinion,"07 Nov, 2022 ",public transportation small step could improve know public transportation system kathmandu best passable. passable end day even lot hassle challenge move one point another one.
Open sesame and the election promises: Cast your votes wisely,"A few days back, I watched a certain performance on social media.",Opinion,"04 Nov, 2022 ",open sesame election promise cast vote wisely day back watched certain performance social media.
EDITORIAL: Abide by poll code,"After having made their election manifestos public, political parties and candidates contesting the November 20 federal and provincial election began intensive campaigning from Thursday, as allowed by the Election Commission (EC).",Opinion,"04 Nov, 2022 ",editorial abide poll code made election manifesto public political party candidate contesting november federal provincial election began intensive campaigning thursday allowed election commission ec .
The Himalayas: A global biodiversity hotspot,"Currently, about 65% of the 738 BRs within the WNBR are located in mountain areas. In the Himalayas, India has already successfully established two Biosphere Reserves, with some of the highest ecosystems in the world.",Opinion,"03 Nov, 2022 ",himalaya global biodiversity hotspot currently br within wnbr located mountain areas. himalaya india already successfully established two biosphere reserve highest ecosystem world.
Central Bank Digital Currency (CBDC): A new paradigm,"The advent of blockchain, cryptocurrency, stablecoins & the likes of bitcoins & ether is going to change the way money is perceived by the society.",Opinion,"02 Nov, 2022 ",central bank digital currency cbdc new paradigm advent blockchain cryptocurrency stablecoins like bitcoins ether going change way money perceived society.
Ode to the bicycle: The future is the bike,"Picture this: the world’s smallest wheeled rideable bicycle, made some years ago, was replete with wheels of 1.09cm in diameter; the largest was wheelwise 3.5m and 3.35m high.",Opinion,"31 Oct, 2022 ",ode bicycle future bike picture world smallest wheeled rideable bicycle made year ago replete wheel .cm diameter largest wheelwise .m .m high.
EDITORIAL: Honouring climbers,"Nepal’s tourism sector has contributed a lot in generating revenue for the government and providing job opportunities to over a million people engaged in the hospitality business, airlines, travel, trekking and mountaineering.",Opinion,"31 Oct, 2022 ",editorial honouring climber nepal tourism sector contributed lot generating revenue government providing job opportunity million people engaged hospitality business airline travel trekking mountaineering.
Dashain and Tihar: An evolving tradition,"The greatest of the Nepali festival, Dashain, just ended. When I was a kid, this used to be the most-awaited time of the year for me.",Opinion,"24 Oct, 2022 ",dashain tihar evolving tradition greatest nepali festival dashain ended. kid used awaited time year me.
EDITORIAL: Worrisome situation,"The balance of payments (BoP) may have improved in the second month of the current fiscal year (ending mid-September), but there is little solace from it as the country’s foreign exchange reserve is still under pressure.",Opinion,"24 Oct, 2022 ",editorial worrisome situation balance payment bop may improved second month current fiscal year ending mid september little solace country foreign exchange reserve still pressure.
EDITORIAL: Maintain transparency,"The government had decided to adopt an automatic pricing system for petrol, diesel, kerosene and aviation fuel in October 2014.",Opinion,"21 Oct, 2022 ",editorial maintain transparency government decided adopt automatic pricing system petrol diesel kerosene aviation fuel october .
Decoupling disaster and climate change: The two are not always connected,"When it rains in Kathmandu, the city floods and traffic snarls up.",Opinion,"21 Oct, 2022 ",decoupling disaster climate change two always connected rain kathmandu city flood traffic snarl up.
EDITORIAL: Cost of negligence,The Patan High Court has upheld the decision of the Nepal Medical Council (NMC) to suspend cardiologist Rishi Khatri’s licence for one year for medical negligence that resulted in the death of a Nepal Airlines pilot in November 2020 from a massive heart attack.,Opinion,"20 Oct, 2022 ",editorial cost negligence patan high court upheld decision nepal medical council nmc suspend cardiologist rishi khatri licence one year medical negligence resulted death nepal airline pilot november massive heart attack.
Espouse self-leadership: If change is to happen,"Over the Dashain festival I had the opportunity to visit the Tarai, in particular Madhes Province. It was not the first time, but it happened, complicit COVID, after more than three years. I am not exaggerating here when I say that I was surprised about what I saw.",Opinion,"20 Oct, 2022 ",espouse self leadership change happen dashain festival opportunity visit tarai particular madhes province. first time happened complicit covid three years. exaggerating say surprised saw.
Global Hunger Index 2022: Why does South Asia fare so poorly?,"The South Asian countries have reported the highest child stunting rate and by far the highest child wasting rate of any region globally, says the latest Global Hunger Index (GHI) report 2022.",Opinion,"19 Oct, 2022 ",global hunger index south asia fare poorly south asian country reported highest child stunting rate far highest child wasting rate region globally say latest global hunger index ghi report .
EDITORIAL: Take strict action,The Election Commission (EC) has warned the political parties and their candidates against launching election-related rallies or corner meetings before November 3 – 17 days before the November 20 elections. The EC’s warning has come against the backdrop of the ruling alliance’s recent decision to hold joint election rallies in all the seven provinces before November 3.,Opinion,"19 Oct, 2022 ",editorial take strict action election commission ec warned political party candidate launching election related rally corner meeting november day november elections. ec warning come backdrop ruling alliance recent decision hold joint election rally seven province november .
Coalition politics sans principles: Dark cloud but with a silver lining,The political skyscape of Nepal has been enveloped by a thick cloud of confusion at the present. People are at a loss regarding whom to vote in the forthcoming election with two unprincipled coalitions staring at their face.,Opinion,"18 Oct, 2022 ",coalition politics sans principle dark cloud silver lining political skyscape nepal enveloped thick cloud confusion present. people loss regarding vote forthcoming election two unprincipled coalition staring face.
EDITORIAL: A great inspiration,"Although death is certain for anyone who has been born, the passing away of Bangmaya Shatabdi Purush, or Litterateur of the Century, Satya Mohan Joshi Sunday morning is sure to leave a void in the field of Nepali literature, culture and history.",Opinion,"18 Oct, 2022 ",editorial great inspiration although death certain anyone born passing away bangmaya shatabdi purush litterateur century satya mohan joshi sunday morning sure leave void field nepali literature culture history.
Nobel Peace Prize: Often controversial but not this time,"Every year, the Norwegian Nobel Committee requests reputed academics, scientists, social activists, politicians and Nobel laureates to submit nominees for the Nobel Peace Prize – arguably, the most prestigious accolade of the planet.",Opinion,"17 Oct, 2022 ",nobel peace prize often controversial time every year norwegian nobel committee request reputed academic scientist social activist politician nobel laureate submit nominee nobel peace prize arguably prestigious accolade planet.
EDITORIAL: Poll preparations,"As the final list of all the candidates vying for the elections of the federal parliament and provincial assemblies have been published, the Election Commission (EC) has said it would complete printing of all the ballot papers in the next four weeks.",Opinion,"17 Oct, 2022 ",editorial poll preparation final list candidate vying election federal parliament provincial assembly published election commission ec said would complete printing ballot paper next four weeks.
Depoliticising NGOs: Only way to regain credibility,Every country has actors: with actors having causes and interests – and always an institution advocating on behalf of these causes.,Opinion,"14 Oct, 2022 ",depoliticising ngo way regain credibility every country actor actor cause interest always institution advocating behalf causes.
EDITORIAL: Anxious traders,"Traders are up in arms against the Indian government’s decision to ban the export and import of goods from the Land Customs Station (LCS) of Raxaul on the border and direct them through the Integrated Check Point (ICP) starting Sunday, or October 16. T",Opinion,"14 Oct, 2022 ",editorial anxious trader trader arm indian government decision ban export import good land custom station lcs raxaul border direct integrated check point icp starting sunday october .
EDITORIAL: Energy export,"The state-owned Nepal Electricity Authority (NEA) has traded 1.30 billion units of electricity at a competitive rate in the Indian energy market, earning nearly Rs 8 billion since June. NEA had traded surplus energy worth Rs 3.88 billion in the last fiscal.",Opinion,"13 Oct, 2022 ",editorial energy export state owned nepal electricity authority nea traded . billion unit electricity competitive rate indian energy market earning nearly r billion since june. nea traded surplus energy worth r . billion last fiscal.
Escalating debt situation: Demands responsible lending and borrowing,"During the pandemic, in 2020, total global debt rose to 263 per cent of global gross domestic product (GDP), according to the World Bank. That was the highest level in half a century.",Opinion,"13 Oct, 2022 ",escalating debt situation demand responsible lending borrowing pandemic total global debt rose per cent global gross domestic product gdp according world bank. highest level half century.
Subsidised solar irrigation pumps: Not benefitting needy farmers,"“ Our life runs on diesel because, without it, our fields go fallow,” said Gauri Mahato of Sarlahi district, who cultivates paddy in the rainy season and wheat, mustard and vegetables in winter.",Opinion,"12 Oct, 2022 ",subsidised solar irrigation pump benefitting needy farmer life run diesel without field go fallow said gauri mahato sarlahi district cultivates paddy rainy season wheat mustard vegetable winter.
EDITORIAL: Stranded tourists,"It’s that time of the year when the monsoon rains have receded, and balmy weather takes over for the great Dashain festival of the Nepalis. However, three days of unusual incessant rains last week marred the traditional Dashain festivity, making it a muddy festival for all.",Opinion,"12 Oct, 2022 ",editorial stranded tourist time year monsoon rain receded balmy weather take great dashain festival nepalis. however three day unusual incessant rain last week marred traditional dashain festivity making muddy festival all.
Multiple organ failures of the nation: Can the new election lead to its recovery?,Nepal has been like a patient suffering from multiple organ failures.,Opinion,"11 Oct, 2022 ",multiple organ failure nation new election lead recovery nepal like patient suffering multiple organ failures.
EDITORIAL: Checking the monitor,"With the filing of nominations for the upcoming elections of the federal parliament and provincial assemblies, the Election Commission (EC) has issued the Election Monitoring Directive-2022 to hold the November 20 polls in a free, fair, transparent and fearless environment through effective supervision and control of related activities.",Opinion,"11 Oct, 2022 ",editorial checking monitor filing nomination upcoming election federal parliament provincial assembly election commission ec issued election monitoring directive hold november poll free fair transparent fearless environment effective supervision control related activities.
Nothing matters: Yet it does,"The idea of being conscious and having sensory qualities, or perception, are independent of each other. This is autonomous of the sensory qualities that we all know— physical stimulus, physiological response, communication, psychological or emotional experience.",Opinion,"10 Oct, 2022 ",nothing matter yet idea conscious sensory quality perception independent other. autonomous sensory quality know physical stimulus physiological response communication psychological emotional experience.
Editorial: Nominations filed,Political leaders and independent candidates filed their nominations at the offices of the Election Commission across the country on Sunday for the first-past-the-post (FPtP) elections to be held next month for the House of Representatives (HoR) and the provincial assemblies.,Opinion,"10 Oct, 2022 ",editorial nomination filed political leader independent candidate filed nomination office election commission across country sunday first past post fptp election held next month house representative hor provincial assemblies.
Nepal Set to Experience Moderate Growth Amid Global Turmoil,A rebound in tourism is projected to support Nepal’s services sector and industrial growth is expected to be strong due to increased hydroelectricity production,Opinion,"07 Oct, 2022 ",nepal set experience moderate growth amid global turmoil rebound tourism projected support nepal service sector industrial growth expected strong due increased hydroelectricity production
Investing in every stage of her life,"From the moment a girl is born, the decisions made at every stage of her life will determine whether she ages with dignity.",Opinion,"01 Oct, 2022 ",investing every stage life moment girl born decision made every stage life determine whether age dignity.
Green transformation: Crisis as an opportunity,"After the outbreak of the COVID-19 pandemic, the German Environment Agency (UBA) conducted a meta-analysis encompassing around 130 studies and position papers on economic stimulus programmes designed to promote sustainable development.",Opinion,"30 Sep, 2022 ",green transformation crisis opportunity outbreak covid pandemic german environment agency uba conducted meta analysis encompassing around study position paper economic stimulus programme designed promote sustainable development.
EDITORIAL: Unlawful decision,"The government’s decision to provide post-retirement benefits to Acting Chief Justice Deepak Kumar Karki on par with a retired chief justice has drawn flak from all walks of life, including the former justices, who had told the government to provide any kind of benefit to the retired justices only after formulating a law in this regard.",Opinion,"30 Sep, 2022 ",editorial unlawful decision government decision provide post retirement benefit acting chief justice deepak kumar karki par retired chief justice drawn flak walk life including former justice told government provide kind benefit retired justice formulating law regard.
Leadership for climate action: Hinges on quality education,"More and more international development agencies are putting their money in supporting, what apparently could be described as a new branch of an area of studies and practice that has always attracted a lot of attention. I am talking about leadership applied for climate action.",Opinion,"29 Sep, 2022 ",leadership climate action hinge quality education international development agency putting money supporting apparently could described new branch area study practice always attracted lot attention. talking leadership applied climate action.
EDITORIAL: EC's strict code,"With the federal and provincial elections less than two months away, the Election Commission (EC) has enforced the poll code of conduct from Wednesday.",Opinion,"29 Sep, 2022 ",editorial ec strict code federal provincial election le two month away election commission ec enforced poll code conduct wednesday.
Use of pocket veto: Yet another disregard of the constitution,The use of the pocket veto by president Bidhya Devi Bhandari with regards to the Citizenship Bill has sparked off a controversy in the Nepali political arena.,Opinion,"28 Sep, 2022 ",use pocket veto yet another disregard constitution use pocket veto president bidhya devi bhandari regard citizenship bill sparked controversy nepali political arena.
EDITORIAL: Swing into action,"​​​​​​​Dengue has taken the form of an epidemic with the rising number of cases across the country since July. As many as 32 people have already lost their lives within two months, and there is no sign of it letting up as the monsoon is still active.",Opinion,"28 Sep, 2022 ",editorial swing action dengue taken form epidemic rising number case across country since july. many people already lost life within two month sign letting monsoon still active.
Rethinking tourism: Conventional approach needs modification,"The United Nations World Tourism Organisation (UNWTO) has been celebrating World Tourism Day since September 27, 1980, and this year, it is being marked with the theme “Rethinking Tourism”.",Opinion,"27 Sep, 2022 ",rethinking tourism conventional approach need modification united nation world tourism organisation unwto celebrating world tourism day since september year marked theme rethinking tourism .
EDITORIAL: Reviving tourism,"There is no sector that the coronavirus pandemic has not impacted, but the tourism industry has suffered the most.",Opinion,"27 Sep, 2022 ",editorial reviving tourism sector coronavirus pandemic impacted tourism industry suffered most.
Stagflation: Or a bumpy inflation in Nepal?,A long-winded tenure typified by sluggish growth and a high unemployment rate bolstered by inflation is termed as “stagflation”. The words “inflation’ and “stagnation” combine together to form “stagflation”.,Opinion,"26 Sep, 2022 ",stagflation bumpy inflation nepal long winded tenure typified sluggish growth high unemployment rate bolstered inflation termed stagflation . word inflation stagnation combine together form stagflation .
EDITORIAL: Market monitoring,"Come Dashain and other festivals, and the concerned government agencies become active to monitor the market to ensure that the consumers are not cheated, overcharged or the traders do not create an artificial shortage of essential goods.",Opinion,"26 Sep, 2022 ",editorial market monitoring come dashain festival concerned government agency become active monitor market ensure consumer cheated overcharged trader create artificial shortage essential goods.
"NGOs in development initiatives: Need for transparency, accountability","NGOs in development initiatives: Need for transparency, accountability",Opinion,"23 Sep, 2022 ",ngo development initiative need transparency accountability ngo development initiative need transparency accountability
EU air safety audit,"The EU ban particularly affects Nepal Airlines, which could make good use of its wide-body aircraft for long-haul flights",Opinion,"23 Sep, 2022 ",eu air safety audit eu ban particularly affect nepal airline could make good use wide body aircraft long haul flight
Editorial: President's defiance,"It was obvious that president Bidhya Devi Bhandari would not give her consent to the controversial Citizenship Bill, resent by the House of Representatives (HoR) 15 days ago.",Opinion,"22 Sep, 2022 ",editorial president defiance obvious president bidhya devi bhandari would give consent controversial citizenship bill resent house representative hor day ago.
Applying for a job,The vacancy announcements are the coming of Dashain for those shoppers.,Opinion,"22 Sep, 2022 ",applying job vacancy announcement coming dashain shoppers.
Managing metropolitan traffic and public transport : Can it expedite mass tourism in Nepal?,Managing metropolitan traffic and public transport : Can it expedite mass tourism in Nepal?,Opinion,"22 Sep, 2022 ",managing metropolitan traffic public transport expedite mass tourism nepal managing metropolitan traffic public transport expedite mass tourism nepal
Eastern and Western educational philosophies: Their strengths and weaknesses,Eastern and Western educational philosophies: Their strengths and weaknesses,Opinion,"21 Sep, 2022 ",eastern western educational philosophy strength weakness eastern western educational philosophy strength weakness
EDITORIAL: Closed list submitted,EDITORIAL: Closed list submitted,Opinion,"21 Sep, 2022 ",editorial closed list submitted editorial closed list submitted
Encroachment of Tukucha rivulet: Disregard of riverine ambience,Encroachment of Tukucha rivulet: Disregard of riverine ambience,Opinion,"20 Sep, 2022 ",encroachment tukucha rivulet disregard riverine ambience encroachment tukucha rivulet disregard riverine ambience
EDITORIAL: Panel's nod for NIA,EDITORIAL: Panel’s nod for NIA,Opinion,"20 Sep, 2022 ",editorial panel nod nia editorial panel nod nia
"Nimsdai injured in paragliding accident, airlifted to Kathmandu","Celebrated climber Nirmal Purja ‘Nimsdai’ has been airlifted to Kathmandu hospital after he met with an accident while gliding off the Manaslu base camp this afternoon, a source at the base camp confirmed.",Opinion,"19 Sep, 2022 ",nimsdai injured paragliding accident airlifted kathmandu celebrated climber nirmal purja nimsdai airlifted kathmandu hospital met accident gliding manaslu base camp afternoon source base camp confirmed.
All you need is love,All you need is love,Opinion,"19 Sep, 2022 ",need love need love
EDITORIAL: HoR term ends,"President Bidhya Devi Bhandari prorogued the current session of both the Houses of Parliament from Saturday midnight, bringing also to an end the five-year term of the...",Opinion,"19 Sep, 2022 ",editorial hor term end president bidhya devi bhandari prorogued current session house parliament saturday midnight bringing also end five year term the...
EDITORIAL - Fruit-farming loan,Nepal’s hilly and mountainous regions are suitable for horticulture because of their climatic conditions.,Opinion,"16 Sep, 2022 ",editorial fruit farming loan nepal hilly mountainous region suitable horticulture climatic conditions.
Issue of self-acceptance: Let's be proud of our skin colour,"One of my first pieces for this column was about pageant contests, and their central message was that such glamorous shows could evolve into something more meaningful, a sort of platform to harness the personal leadership of the participants for the common good.",Opinion,"16 Sep, 2022 ",issue self acceptance let proud skin colour one first piece column pageant contest central message glamorous show could evolve something meaningful sort platform harness personal leadership participant common good.
