headline,body,location,time_published
33rd team of World Cup 2022: Ignored and forgotten,"Lionel Messi entered the Olympus of legendary Maradona after he lifted the glittering World Cup on December 18 at the Lusail Stadium. Argentina beat the favourites, France, on penalty shootout in one of the most exciting finals of the World Cup, their first World Cup win after 36 years.",Opinion,"26 Dec, 2022 "
EDITORIAL: Tourism Decade,"Battered by the coronavirus pandemic and the Russia-Ukraine war this year, the government has unveiled a ‘Nepal tourism decade (2023-2032) strategic action plan’ to revive the tourism sector, which contributes significantly to the country’s foreign exchange earnings.",Opinion,"26 Dec, 2022 "
NHRC's status: Why it went from A to B,"The Global Alliance of National Human Rights Institutions (GANHRI), an umbrella institution of NHRIs, has recommended downgrading the status of the National Human Rights Commission of Nepal (NHRC) from A to B, as per the decision taken on November 8,2022.",Opinion,"23 Dec, 2022 "
EDITORIAL: Race for next PM,"With the election of the parliamentary party (PP) leaders of all the political parties, leaders of the ruling coalition have intensified their formal and informal discussions to form a new government under Article 76 (2) as none of the political parties have been able to secure a majority in the House of Representatives (HoR).",Opinion,"23 Dec, 2022 "
Impeachment conundrum: Making a mockery of the constitution,Impeachment is the process by which charges against a public official for a misconduct and violation of the constitution are initiated by a legislative body or a legally constituted tribunal.,Opinion,"19 Dec, 2022 "
Turbine manufacturing in Nepal: Need and opportunities,"According to the Nepal Energy Sector Synopsis Report of 2022, published by the Water and Energy Commission (WECS), the energy mix in Nepal is still dominated by traditional energy types.",Opinion,"16 Dec, 2022 "
EDITORIAL: Workers' woes,"The woes of the migrant workers never seem to cease, and most of them deal with complaints about contract issues.",Opinion,"16 Dec, 2022 "
Women move mountains: Give them their due,The UN General Assembly celebrated 2002 as the UN International Year of Mountains and declared December 11 as International Mountain Day.,Opinion,"12 Dec, 2022 "
"They are back again in the House! : Oh, no, not again","“Wealth does not bring goodness, but goodness brings wealth,” said Socrates, a citizen of Athens, who fought against Crimea and back at home, educated Athenians on issues such as wisdom, courage, piety and justice, and received the death verdict from the judicial court.",Opinion,"09 Dec, 2022 "
EDITORIAL: CJ Rana acquitted?,"Secretary General of the Parliament Secretariat, Bharat Raj Gautam, shook the entire political sphere, parliament and judiciary by acquitting suspended Chief Justice of the Supreme Court Cholendra Shumsher Rana of the unconcluded impeachment motion on Wednesday.",Opinion,"09 Dec, 2022 "
Future course of Nepali politics: Heading towards yet another cycle of instability,Nepali politics appears to be tottering on the precipice of instability in view of the political scenario that has emerged after the federal and provincial elections. The country has already been scarred by political instability that it went through in the pre federal era.,Opinion,"06 Dec, 2022 "
RSP cadres up against Makawanpur head,A dispute has come to the surface at Rastriya Swatantra Party Makawanpur District Committee.,Opinion,"05 Dec, 2022 "
Fight against HIV/AIDS: Ending inequalities,"Forty years since the first cases of AIDS were identified, the epidemic is increasingly considered as one the significant challenges to sustainable human development.",Opinion,"02 Dec, 2022 "
EDITORIAL: Enforce act,"The local governments would do well to strictly enforce the Public Health Service Act, 2018 at a time when consumption of liquor and tobacco production is high in the country.",Opinion,"02 Dec, 2022 "
The energy of life: All about bioenergetics,"What makes us ‘hit’ the floor each morning and reach out from sleep to awareness, emptiness to existence and dream to reality",Opinion,"30 Nov, 2022 "
VAT refund system in Nepal Design and implementation,"Tax refund is an important element of the value added tax (VAT) system. Under the VAT, taxpayers pay tax on the purchases/ imports of goods and services that are used to run their businesses.",Opinion,"28 Nov, 2022 "
Taking on poverty and inequality in Nepal,"With growth averaging 4.5 per cent per year over the last decade, Nepal also achieved lower middle-income status in 2020 and is aiming for graduation from Least Developed Country status by 2026",Opinion,"23 Nov, 2022 "
Nepal must protect its biodiversity: For prosperity and well-being,"Nepal’s geography, typified by vast differences in altitude and climate across a short north–south transect, has enabled tremendous biological diversity to flourish here, making it a hotspot for biodiversity.",Opinion,"25 Nov, 2022 "
EDITORIAL: Polls largely fair,"The November 20 general elections held for the House of Representatives and provincial assemblies were held in a peaceful and fair manner, barring sporadic incidents of violence, such as booth capturing and voter intimidation, in some districts.",Opinion,"25 Nov, 2022 "
Polling for Nepal's parliament 2022: Ballot box or cyber-voting?,"If every man were good enough to rule the state, said Socrates, election would be unnecessary when people would choose their leaders by lot, and, if voting changed anything, said Baige in 1983, they would make it illegal.",Opinion,"24 Nov, 2022 "
Challenges before the new government: Seemingly complex but actually simple,Anything goes kind of classical governmental mentality has landed us in the present state of affairs,Opinion,"22 Nov, 2022 "
FIFA World Cup 2022: Kicked off amid controversies,"KATHMANDU, NOVEMBER 20A controversy related to the World Cup is the alleged mishandling of migrant workers during the construction of new stadiums and other World Cup...",Opinion,"21 Nov, 2022 "
Upcoming election: A test of Nepali voters,The year 1947 marked an epoch in the history of elections in Nepal.,Opinion,"18 Nov, 2022 "
EDITORIAL: Follow EC code,"48-hour silence period before the November 20 A general election on Sunday began Thursday midnight, which prohibits party candidates and independents from engaging in any form of poll publicity.",Opinion,"18 Nov, 2022 "
Karma sutra: The doctrine of cause and effect,"The Indian philosopher Madhvacárya (1238-1317) observed that our souls have a plethora of innate characteristics and capacities; they were preordained to accomplish certain ends. This (r)evolutionary perspective puts Madhvacárya at variance with the traditional Indian view of the karma theory, all right — where differences (‘bheda’) in social and religious status are determined by way of past moral, or decadent",Opinion,"16 Nov, 2022 "
General election: Hope of transformation,"Same old faces. What will the future of our country be? A man, holding a cup of tea in one hand and a newspaper in the other, was mumbling in innocence but looked concerned. Divided comments about the election candidacy and results can be heard at every corner of the street, in the tea stalls, restaurants and gatherings.",Opinion,"14 Nov, 2022 "
Rights-based family planning; Why it is central to sustainable development,Unintended pregnancies. Lack of access to contraceptives. Rapidly changing population trends.,Opinion,"11 Nov, 2022 "
EDITORIAL: Learn lessons,An earthquake measuring 6.6 on the Richter scale that struck Doti of Sudupaschim Province early Wednesday morning killed six people while damaging homes and local infrastructure – a grim reminder of how prone Nepal is to the destructive force of nature.,Opinion,"11 Nov, 2022 "
Pre-electoral coalition in Nepal: Comedy of errors revisited,"Unlike his famous tragedy masterpieces, William Shakespeare composed a lighthearted slapstick play, The Comedy of Errors, in 1594.",Opinion,"10 Nov, 2022 "
November 20 elections: Will they emulate the local polls?,"The country is witnessing periodic elections, which have ensured the acceptance of the supremacy of adult franchise. On November 20, both the general and provincial elections will be held in a single phase. It is apparent that the political situation of the country is shrouded in confusion with many political parties contesting the elections.",Opinion,"09 Nov, 2022 "
Public transportation: Small steps could improve it,"We all know that the public transportation system in Kathmandu is at the best passable. It is passable because at the end of the day, even with a lot of hassles and challenges, you can move from one point to another one.",Opinion,"07 Nov, 2022 "
Open sesame and the election promises: Cast your votes wisely,"A few days back, I watched a certain performance on social media.",Opinion,"04 Nov, 2022 "
EDITORIAL: Abide by poll code,"After having made their election manifestos public, political parties and candidates contesting the November 20 federal and provincial election began intensive campaigning from Thursday, as allowed by the Election Commission (EC).",Opinion,"04 Nov, 2022 "
The Himalayas: A global biodiversity hotspot,"Currently, about 65% of the 738 BRs within the WNBR are located in mountain areas. In the Himalayas, India has already successfully established two Biosphere Reserves, with some of the highest ecosystems in the world.",Opinion,"03 Nov, 2022 "
Central Bank Digital Currency (CBDC): A new paradigm,"The advent of blockchain, cryptocurrency, stablecoins & the likes of bitcoins & ether is going to change the way money is perceived by the society.",Opinion,"02 Nov, 2022 "
Ode to the bicycle: The future is the bike,"Picture this: the world’s smallest wheeled rideable bicycle, made some years ago, was replete with wheels of 1.09cm in diameter; the largest was wheelwise 3.5m and 3.35m high.",Opinion,"31 Oct, 2022 "
EDITORIAL: Honouring climbers,"Nepal’s tourism sector has contributed a lot in generating revenue for the government and providing job opportunities to over a million people engaged in the hospitality business, airlines, travel, trekking and mountaineering.",Opinion,"31 Oct, 2022 "
Dashain and Tihar: An evolving tradition,"The greatest of the Nepali festival, Dashain, just ended. When I was a kid, this used to be the most-awaited time of the year for me.",Opinion,"24 Oct, 2022 "
EDITORIAL: Worrisome situation,"The balance of payments (BoP) may have improved in the second month of the current fiscal year (ending mid-September), but there is little solace from it as the country’s foreign exchange reserve is still under pressure.",Opinion,"24 Oct, 2022 "
EDITORIAL: Maintain transparency,"The government had decided to adopt an automatic pricing system for petrol, diesel, kerosene and aviation fuel in October 2014.",Opinion,"21 Oct, 2022 "
Decoupling disaster and climate change: The two are not always connected,"When it rains in Kathmandu, the city floods and traffic snarls up.",Opinion,"21 Oct, 2022 "
EDITORIAL: Cost of negligence,The Patan High Court has upheld the decision of the Nepal Medical Council (NMC) to suspend cardiologist Rishi Khatri’s licence for one year for medical negligence that resulted in the death of a Nepal Airlines pilot in November 2020 from a massive heart attack.,Opinion,"20 Oct, 2022 "
Espouse self-leadership: If change is to happen,"Over the Dashain festival I had the opportunity to visit the Tarai, in particular Madhes Province. It was not the first time, but it happened, complicit COVID, after more than three years. I am not exaggerating here when I say that I was surprised about what I saw.",Opinion,"20 Oct, 2022 "
Global Hunger Index 2022: Why does South Asia fare so poorly?,"The South Asian countries have reported the highest child stunting rate and by far the highest child wasting rate of any region globally, says the latest Global Hunger Index (GHI) report 2022.",Opinion,"19 Oct, 2022 "
EDITORIAL: Take strict action,The Election Commission (EC) has warned the political parties and their candidates against launching election-related rallies or corner meetings before November 3 – 17 days before the November 20 elections. The EC’s warning has come against the backdrop of the ruling alliance’s recent decision to hold joint election rallies in all the seven provinces before November 3.,Opinion,"19 Oct, 2022 "
Coalition politics sans principles: Dark cloud but with a silver lining,The political skyscape of Nepal has been enveloped by a thick cloud of confusion at the present. People are at a loss regarding whom to vote in the forthcoming election with two unprincipled coalitions staring at their face.,Opinion,"18 Oct, 2022 "
EDITORIAL: A great inspiration,"Although death is certain for anyone who has been born, the passing away of Bangmaya Shatabdi Purush, or Litterateur of the Century, Satya Mohan Joshi Sunday morning is sure to leave a void in the field of Nepali literature, culture and history.",Opinion,"18 Oct, 2022 "
Nobel Peace Prize: Often controversial but not this time,"Every year, the Norwegian Nobel Committee requests reputed academics, scientists, social activists, politicians and Nobel laureates to submit nominees for the Nobel Peace Prize – arguably, the most prestigious accolade of the planet.",Opinion,"17 Oct, 2022 "
EDITORIAL: Poll preparations,"As the final list of all the candidates vying for the elections of the federal parliament and provincial assemblies have been published, the Election Commission (EC) has said it would complete printing of all the ballot papers in the next four weeks.",Opinion,"17 Oct, 2022 "
Depoliticising NGOs: Only way to regain credibility,Every country has actors: with actors having causes and interests – and always an institution advocating on behalf of these causes.,Opinion,"14 Oct, 2022 "
EDITORIAL: Anxious traders,"Traders are up in arms against the Indian government’s decision to ban the export and import of goods from the Land Customs Station (LCS) of Raxaul on the border and direct them through the Integrated Check Point (ICP) starting Sunday, or October 16. T",Opinion,"14 Oct, 2022 "
EDITORIAL: Energy export,"The state-owned Nepal Electricity Authority (NEA) has traded 1.30 billion units of electricity at a competitive rate in the Indian energy market, earning nearly Rs 8 billion since June. NEA had traded surplus energy worth Rs 3.88 billion in the last fiscal.",Opinion,"13 Oct, 2022 "
Escalating debt situation: Demands responsible lending and borrowing,"During the pandemic, in 2020, total global debt rose to 263 per cent of global gross domestic product (GDP), according to the World Bank. That was the highest level in half a century.",Opinion,"13 Oct, 2022 "
Subsidised solar irrigation pumps: Not benefitting needy farmers,"“ Our life runs on diesel because, without it, our fields go fallow,” said Gauri Mahato of Sarlahi district, who cultivates paddy in the rainy season and wheat, mustard and vegetables in winter.",Opinion,"12 Oct, 2022 "
EDITORIAL: Stranded tourists,"It’s that time of the year when the monsoon rains have receded, and balmy weather takes over for the great Dashain festival of the Nepalis. However, three days of unusual incessant rains last week marred the traditional Dashain festivity, making it a muddy festival for all.",Opinion,"12 Oct, 2022 "
Multiple organ failures of the nation: Can the new election lead to its recovery?,Nepal has been like a patient suffering from multiple organ failures.,Opinion,"11 Oct, 2022 "
EDITORIAL: Checking the monitor,"With the filing of nominations for the upcoming elections of the federal parliament and provincial assemblies, the Election Commission (EC) has issued the Election Monitoring Directive-2022 to hold the November 20 polls in a free, fair, transparent and fearless environment through effective supervision and control of related activities.",Opinion,"11 Oct, 2022 "
Nothing matters: Yet it does,"The idea of being conscious and having sensory qualities, or perception, are independent of each other. This is autonomous of the sensory qualities that we all know— physical stimulus, physiological response, communication, psychological or emotional experience.",Opinion,"10 Oct, 2022 "
Editorial: Nominations filed,Political leaders and independent candidates filed their nominations at the offices of the Election Commission across the country on Sunday for the first-past-the-post (FPtP) elections to be held next month for the House of Representatives (HoR) and the provincial assemblies.,Opinion,"10 Oct, 2022 "
Nepal Set to Experience Moderate Growth Amid Global Turmoil,A rebound in tourism is projected to support Nepal’s services sector and industrial growth is expected to be strong due to increased hydroelectricity production,Opinion,"07 Oct, 2022 "
Investing in every stage of her life,"From the moment a girl is born, the decisions made at every stage of her life will determine whether she ages with dignity.",Opinion,"01 Oct, 2022 "
Green transformation: Crisis as an opportunity,"After the outbreak of the COVID-19 pandemic, the German Environment Agency (UBA) conducted a meta-analysis encompassing around 130 studies and position papers on economic stimulus programmes designed to promote sustainable development.",Opinion,"30 Sep, 2022 "
EDITORIAL: Unlawful decision,"The government’s decision to provide post-retirement benefits to Acting Chief Justice Deepak Kumar Karki on par with a retired chief justice has drawn flak from all walks of life, including the former justices, who had told the government to provide any kind of benefit to the retired justices only after formulating a law in this regard.",Opinion,"30 Sep, 2022 "
Leadership for climate action: Hinges on quality education,"More and more international development agencies are putting their money in supporting, what apparently could be described as a new branch of an area of studies and practice that has always attracted a lot of attention. I am talking about leadership applied for climate action.",Opinion,"29 Sep, 2022 "
EDITORIAL: EC's strict code,"With the federal and provincial elections less than two months away, the Election Commission (EC) has enforced the poll code of conduct from Wednesday.",Opinion,"29 Sep, 2022 "
Use of pocket veto: Yet another disregard of the constitution,The use of the pocket veto by president Bidhya Devi Bhandari with regards to the Citizenship Bill has sparked off a controversy in the Nepali political arena.,Opinion,"28 Sep, 2022 "
EDITORIAL: Swing into action,"​​​​​​​Dengue has taken the form of an epidemic with the rising number of cases across the country since July. As many as 32 people have already lost their lives within two months, and there is no sign of it letting up as the monsoon is still active.",Opinion,"28 Sep, 2022 "
Rethinking tourism: Conventional approach needs modification,"The United Nations World Tourism Organisation (UNWTO) has been celebrating World Tourism Day since September 27, 1980, and this year, it is being marked with the theme “Rethinking Tourism”.",Opinion,"27 Sep, 2022 "
EDITORIAL: Reviving tourism,"There is no sector that the coronavirus pandemic has not impacted, but the tourism industry has suffered the most.",Opinion,"27 Sep, 2022 "
Stagflation: Or a bumpy inflation in Nepal?,A long-winded tenure typified by sluggish growth and a high unemployment rate bolstered by inflation is termed as “stagflation”. The words “inflation’ and “stagnation” combine together to form “stagflation”.,Opinion,"26 Sep, 2022 "
EDITORIAL: Market monitoring,"Come Dashain and other festivals, and the concerned government agencies become active to monitor the market to ensure that the consumers are not cheated, overcharged or the traders do not create an artificial shortage of essential goods.",Opinion,"26 Sep, 2022 "
"NGOs in development initiatives: Need for transparency, accountability","NGOs in development initiatives: Need for transparency, accountability",Opinion,"23 Sep, 2022 "
EU air safety audit,"The EU ban particularly affects Nepal Airlines, which could make good use of its wide-body aircraft for long-haul flights",Opinion,"23 Sep, 2022 "
Editorial: President's defiance,"It was obvious that president Bidhya Devi Bhandari would not give her consent to the controversial Citizenship Bill, resent by the House of Representatives (HoR) 15 days ago.",Opinion,"22 Sep, 2022 "
Applying for a job,The vacancy announcements are the coming of Dashain for those shoppers.,Opinion,"22 Sep, 2022 "
Managing metropolitan traffic and public transport : Can it expedite mass tourism in Nepal?,Managing metropolitan traffic and public transport : Can it expedite mass tourism in Nepal?,Opinion,"22 Sep, 2022 "
Eastern and Western educational philosophies: Their strengths and weaknesses,Eastern and Western educational philosophies: Their strengths and weaknesses,Opinion,"21 Sep, 2022 "
EDITORIAL: Closed list submitted,EDITORIAL: Closed list submitted,Opinion,"21 Sep, 2022 "
Encroachment of Tukucha rivulet: Disregard of riverine ambience,Encroachment of Tukucha rivulet: Disregard of riverine ambience,Opinion,"20 Sep, 2022 "
EDITORIAL: Panel's nod for NIA,EDITORIAL: Panel’s nod for NIA,Opinion,"20 Sep, 2022 "
"Nimsdai injured in paragliding accident, airlifted to Kathmandu","Celebrated climber Nirmal Purja ‘Nimsdai’ has been airlifted to Kathmandu hospital after he met with an accident while gliding off the Manaslu base camp this afternoon, a source at the base camp confirmed.",Opinion,"19 Sep, 2022 "
All you need is love,All you need is love,Opinion,"19 Sep, 2022 "
EDITORIAL: HoR term ends,"President Bidhya Devi Bhandari prorogued the current session of both the Houses of Parliament from Saturday midnight, bringing also to an end the five-year term of the...",Opinion,"19 Sep, 2022 "
EDITORIAL - Fruit-farming loan,Nepal’s hilly and mountainous regions are suitable for horticulture because of their climatic conditions.,Opinion,"16 Sep, 2022 "
Issue of self-acceptance: Let's be proud of our skin colour,"One of my first pieces for this column was about pageant contests, and their central message was that such glamorous shows could evolve into something more meaningful, a sort of platform to harness the personal leadership of the participants for the common good.",Opinion,"16 Sep, 2022 "
Bangladesh vis-a-vis Nepal: Bridging hearts and minds in the region's neighbourhood,"On the map of South Asia, if the gentle bend of Nepal’s rectangular strip can be seen nestling snugly in the lap of the central Himalayas in the north, Bangladesh in the southeast — a country on water — looks like an amphibian emerging restlessly from the great Bay to bask its rain-drenched skin on the second largest delta in the world. The contrast, somehow, does not end with cartography.",Opinion,"15 Sep, 2022 "
EDITORIAL: Beyond the niceties,Nepal has reiterated its One China Policy during the official visit of Chairman of the Standing Committee of the National People’s Congress of the People’s Republic of China Li Zhanshu.,Opinion,"15 Sep, 2022 "
Student and faculty exchanges: The way forward,"Over the last two years, many students — mostly those in developing countries without ready access to the internet — missed out on formal education for an extended period of time due to COVID-19.",Opinion,"14 Sep, 2022 "
EDITORIAL: Education in Madhes,"Following the restructuring of the state on federal lines, education upto the plus two level and the management of the teachers are the responsibility of the local levels. However, the Federal Education Bill is in the process of being endorsed by the federal parliament.",Opinion,"14 Sep, 2022 "
Queen Elizabeth's demise: The end of a long political era,"Her Majesty the Queen of England, Elizabeth the Second, has departed for her heavenly abode after 70 glorious years of her reign. It has triggered a wave of sadness around the globe.",Opinion,"13 Sep, 2022 "
EDITORIAL: Food security,"Nepal is largely dependent on the import of rice, the staple diet of the Nepalis, to feed its population, and any major decision by the Indian government on its export has telling impact on Nepal’s food supply.",Opinion,"13 Sep, 2022 "
More kids are repeating a grade: Is it good for them?,"As Braylon Price remembers it, he struggled with pretty much everything the first full school year of the pandemic. With minimal guidance and frequent disruptions, he had trouble staying on top of assignments and finishing homework on time.",Opinion,"12 Sep, 2022 "
EDITORIAL: Health systems,Right to access to affordable health care is one of the fundamental rights guaranteed by the constitution promulgated in 2015.,Opinion,"12 Sep, 2022 "
Rural Indians rush to join studies abroad: As prospects dim at home,"When 19-year-old Sachin failed to score the grades he needed to get into a good Indian college, his father, a small shopkeeper, took a loan and dug deep into the family savings to help him secure a Canadian student visa.",Opinion,"09 Sep, 2022 "
EDITORIAL: Let NMC decide,"Following a series of unwarranted incidents involving medical doctors, Nepal Medical Council (NMC) has urged the concerned authorities not to take things into their hands should negligence in medical treatment be feared.",Opinion,"09 Sep, 2022 "
Women in climate change policy: Give them their due,"Women are powerful organisers and visionaries, capable of planning for the future. Women have the solutions, who have taken the initiative as key leaders in social and environmental movements.",Opinion,"08 Sep, 2022 "
EDITORIAL - Tough visit visa rule,"The new ‘regulation related to approval of tourist visas for foreigner countries-2022’, introduced by the Department of Immigration (DoI) for Nepali travellers, has irked the travel agents and those who wish to visit foreign countries under tourist or visit visas.",Opinion,"08 Sep, 2022 "
The WTO has not collapsed: But it does look shaky,"When the World Trade Organisation (WTO) was formed in 1995, “globalisation” became a buzzword in Africa. The subtext was that, after the cold war, a new era of liberalisation had supposedly begun. Henceforth, the same rules would apply to everyone on the world market and free trade would drive growth.",Opinion,"07 Sep, 2022 "
EDITORIAL: Dengue menace,"The rapid spread of dengue in the Kathmandu Valley and western Tarai belt is threatening to overwhelm Nepal’s poor health infrastructure, with an acute shortage of paracetamol tablets being reported in the market.",Opinion,"07 Sep, 2022 "
Nepali higher education in doldrums: Need of emulating good practices,"Nepal’s education, in general, and higher education, in particular, are in a state of paralysis. This is a very worrying scene because the development of a nation depends primarily on the quality of education.",Opinion,"06 Sep, 2022 "
EDITORIAL: Govt backs out of bill,"The government has backed out of its plan of extending the tenure of the House of Representatives (HoR) and Provincial Assembly following widespread criticism from all walks of life, including the main opposition – the CPN-UML.",Opinion,"06 Sep, 2022 "
Role models: Why they are subject to change,"Attachment connects us all to one another, including our own selves. It can be permanent, or transient; secure, or insecure. It all begins in one’s childhood — the initial attachment to one’s mother, or father, or grandparents, or the baby-sitter.",Opinion,"05 Sep, 2022 "
EDITORIAL: Keep press free,"As the House of Representatives (HoR) starts debate on the Media Council Bill, following its passage by the National Assembly after some amendments, the Federation of Nepali Journalists (FNJ) has voiced its opposition to endorsing it as it is.",Opinion,"05 Sep, 2022 "
Debate on the citizenship bill: More political than juridical,"When President Bidhya Devi Bhandari sent the bill to amend the Citizenship Act back to parliament for review, the political circle was discombobulated: mixed reactions and eclectic feelings.",Opinion,"02 Sep, 2022 "
EDITORIAL: Rana defends his case,"Six-and-a-half months after 98 lawmakers of the ruling coalition partners in the House of Representatives (HoR) filed an impeachment motion against Chief Justice Cholendra Shumsher JB Rana on charges of failing to maintain sanctity of the Judiciary on February 13, suspended Rana appeared Wednesday before the 15-member Impeachment Recommendation Committee",Opinion,"02 Sep, 2022 "
Gender equality: Heading towards right direction,"Sustainable Development Goal (SDG) 5 aims at achieving gender equality and empowering all women and girls through effective participation in social, political and economic development.",Opinion,"01 Sep, 2022 "
EDITORIAL: Strict election code,The Election Commission (EC) issued its code of conduct for the parliamentary and provincial assembly elections slated for November 20 on Monday to what it says create level playing field for all and bring down election expenditure.,Opinion,"01 Sep, 2022 "
World economy: Multilateral order faces toughest test,"The global economy must cope with serious disruptions. The Ukraine war is compounding problems that have emerged in the course of the Covid-19 pandemic. Even before the advent of coronavirus, moreover, sovereign debt issues had been growing fast, and the climate emergency keeps escalating. To get a grip, the international community needs to fix the global financial architecture and reframe political relations.",Opinion,"31 Aug, 2022 "
EDITORIAL - Respect 1947 treaty,The Nepal government has halted the recruitment process of the Gurkhas into the Indian Army under a new scheme called ‘Agnipath’ until it became clear what would happen to them after their retirement four years later.,Opinion,"31 Aug, 2022 "
Demolition of illegally constructed buildings: A step in the right direction,The illegally constructed buildings in the Kathmandu Metropolitan City have been receiving deathly blows deservedly from the demolition squads of the Kathmandu Metropolitan City.,Opinion,"30 Aug, 2022 "
EDITORIAL: End TU stalemate,"More than 30 years after multi-party democracy was ushered into the country, academic programmes at Nepal’s first and largest university, Tribhuvan University (TU), continue to play second fiddle to student politics.",Opinion,"30 Aug, 2022 "
EDITORIAL - Create agro market,"While presenting the fiscal budget for the year 2022/23 on May 29, Finance Minister Janardan Sharma allocated Rs 55.97 billion along with Rs 1 billion as seed funding for the Farmers’ Pension Scheme.",Opinion,"29 Aug, 2022 "
Psychosocial counselors: Why we need them in primary healthcare,"Nepal’s Ministry of Health recently finalised the organogram of a local 15-bed primary hospital. But it fails to include a human resource dedicated to mental health. Recent reports show that mental health problems are rising. According to WHO’s ‘suicide worldwide’ report of 2019, suicide rates in Nepal, Japan and Germany are 9.8, 12.2 and 8.3 respectively.",Opinion,"29 Aug, 2022 "
Gorkha earthquake: Trauma lingers on seven years after,"In depth On 25 April 2015, a 7.6-magnitude earthquake hit Nepal. The epicentre was Barpak in the historic district of Gorkha. The disaster affected 37 out of 77 districts. Fourteen severely damaged districts were declared as “crisis-hit”, which meant they were prioritised for relief and rescue activities.",Opinion,"26 Aug, 2022 "
EDITORIAL - Good job,The capital has waited too long for someone to spring into action to pull down the unauthorised and illegal structures dotting every nook and corner of the city that are rented out to the vendors.,Opinion,"26 Aug, 2022 "
Mediocrity trap: Constructive criticism of the self helps,Have you ever experienced frustrations because someone is not performing up to the tasks or simply the same person is acting unprofessionally? There are thousands of such situations where people we are dealing with are simply working below their potential or simply they do not put too much care in their work.,Opinion,"25 Aug, 2022 "
EDITORIAL - Delayed verdict,"Belated though, the constitutional bench of the Supreme Court has quashed most of the writ petitions filed against the recruitment vacancies announced by the Public Service Commission (PSC).",Opinion,"25 Aug, 2022 "
The art of mindful balance: It's akin to riding a bicycle,The power and energy from deep within and without that we all experience are related to the unconscious self.,Opinion,"24 Aug, 2022 "
EDITORIAL - EC be practical,"With the federal and provincial elections slated for November 20, the Election Commission (EC) has been proposing measures to reduce the poll expenditure of the candidates and make the polls as fair as possible for everyone.",Opinion,"24 Aug, 2022 "
The vagaries of climate change: Snake plant could come to the rescue,The vagaries of climate change: Snake plant could come to the rescue,Opinion,"23 Aug, 2022 "
EDITORIAL-Open prison,The concept of open prison is quite new for Nepal although it has been in practice in the developed countries to reduce the overwhelming pressure on the regular prisons.,Opinion,"23 Aug, 2022 "
2021 population of Nepal: Projected vs enumerated,"In January 2022, the Central Bureau of Statistics (CBS) published its preliminary census results, stating that the total population of Nepal had reached 29.2 million – a figure lower than the CBS projected figure of 30.4 million.",Opinion,"22 Aug, 2022 "
EDITORIAL - Human milk bank,"Nepal’s first-ever human milk bank, Amrit Kosh, has been established at the Paropakar Maternity and Women’s Hospital in Kathmandu, an initiative worthy of emulation in other parts of the country as well.",Opinion,"22 Aug, 2022 "
Understanding climate change impacts: High altitude research stations hold the key,"Nepal is rich in water resources, and the hydrologic system of Nepal is influenced or supported by mainly three systems: the monsoon in the summer, the westerly in winter, and the snow and glacier ice melt systems in the preand-post monsoon seasons.",Opinion,"19 Aug, 2022 "
EDITORIAL - Strengthen IPR law,Making timely changes in the laws related to Intellectual Property Rights (IPR) as per the international standard has been long overdue.,Opinion,"19 Aug, 2022 "
Sustainable Development through Blended Finance in Nepal,Sustainable Development through Blended Finance in Nepal,Opinion,"18 Aug, 2022 "
EDITORIAL - BoP deficit,Nepal’s balance of payments (BoP) was in the red in fiscal 2021-22 that ended in mid-July despite a surplus seen in the previous fiscal year.,Opinion,"18 Aug, 2022 "
Integrity in leadership: Ways to enhance it,Political leaders in underdeveloped countries like Nepal announce many ambitious plans. The plans look like a game changer to the public. Leaders claim that their plans will change the country’s condition and achieve development and prosperity in the near future.,Opinion,"18 Aug, 2022 "
EDITORIAL - Amend the TRC Act,"When the then government, represented by the Seven-Party Alliance opposing then King Gyanendra’s autocratic rule, and the rebel Maoists reached the Comprehensive Peace Accord (CPA) in 2006, both the sides had agreed to end the transitional justice within six months of signing the accord.",Opinion,"17 Aug, 2022 "
"Announcement of federal, provincial poll: Opening vistas of possibilities",The election fever has gripped the whole of the country with the announcement of the federal and provincial poll to be held in mid-November.,Opinion,"17 Aug, 2022 "
EDITORIAL - Install recycling plant,Kathmandu Metropolitan City (KMC) deployed around 500 security personnel in and around Bancharedanda and Sisdol areas on Saturday to transport the Kathmandu Valley’s waste that had remained uncollected for the last one week due to fierce opposition from the locals.,Opinion,"15 Aug, 2022 "
Hydropower engineering: Relevance and prospects in Nepal,"Picking the right stream of study is one of the major confusions for students in Nepal, whether after completing SEE, +2 or even a bachelor’s degree. The final decision is mostly based on individual interest, job availability, opportunities for higher studies abroad and, in some cases, student’s competence in passing the course. v",Opinion,"15 Aug, 2022 "
The judiciary: Don't violate its sanctity,"It isn’t wise to bring controversy in the judiciary by any means. But sadly, most rumours and arguments arising on the media today seem to revolve around matters relating to the courts and the legal systems, especially the Supreme Court and its judges.",Opinion,"12 Aug, 2022 "
EDITORIAL - NEA's profits,"For a country accustomed to seeing its power utility company mostly in the red, the record growth in profits during the last fiscal year is indeed startling.",Opinion,"12 Aug, 2022 "
EDITORIAL - Protect public property,"It is quite common to see people having a close nexus with the power corridors, politicians and high-profile bureaucrats grabbing public lands or leasing them at cheap rates, compared to the market value, for many years to promote their business.",Opinion,"11 Aug, 2022 "
